config,model_name,alpha,threshold,sensitivity,specificity,youden_j,auc
Demographics,Elastic Net,0.004,0.6722493585841302,0.0,0.9962406015037594,-0.003759398496240629,0.6244756628413137
Demographics,Elastic Net,0.02441025641025641,0.6431890456542795,0.005263157894736842,0.9849624060150376,-0.009774436090225547,0.6244756628413137
Demographics,Elastic Net,0.04482051282051282,0.6050567121174798,0.02631578947368421,0.9624060150375939,-0.011278195488721887,0.6244756628413137
Demographics,Elastic Net,0.06523076923076923,0.5808471739510733,0.08947368421052632,0.9360902255639098,0.02556390977443601,0.6244756628413137
Demographics,Elastic Net,0.08564102564102564,0.5779793657594172,0.1,0.9285714285714286,0.028571428571428692,0.6244756628413137
Demographics,Elastic Net,0.10605128205128206,0.5525034810241468,0.16842105263157894,0.8947368421052632,0.06315789473684208,0.6244756628413137
Demographics,Elastic Net,0.12646153846153846,0.5490256131578837,0.17894736842105263,0.8796992481203008,0.0586466165413535,0.6244756628413137
Demographics,Elastic Net,0.1468717948717949,0.5307641171002668,0.22105263157894736,0.8533834586466166,0.07443609022556386,0.6244756628413137
Demographics,Elastic Net,0.1672820512820513,0.5295243487276962,0.23157894736842105,0.8458646616541353,0.07744360902255631,0.6244756628413137
Demographics,Elastic Net,0.18769230769230769,0.5140242606186048,0.2578947368421053,0.8157894736842105,0.0736842105263158,0.6244756628413137
Demographics,Elastic Net,0.2081025641025641,0.5099325267123143,0.2789473684210526,0.8082706766917294,0.08721804511278197,0.6244756628413137
Demographics,Elastic Net,0.2285128205128205,0.4896157986397492,0.3736842105263158,0.7744360902255639,0.14812030075187965,0.6244756628413137
Demographics,Elastic Net,0.2489230769230769,0.4850819187313436,0.37894736842105264,0.7631578947368421,0.14210526315789473,0.6244756628413137
Demographics,Elastic Net,0.2693333333333333,0.4729315468507143,0.41578947368421054,0.7330827067669173,0.14887218045112793,0.6244756628413137
Demographics,Elastic Net,0.28974358974358977,0.4635083000089276,0.4842105263157895,0.7142857142857143,0.19849624060150384,0.6244756628413137
Demographics,Elastic Net,0.31015384615384617,0.4609512597300812,0.48947368421052634,0.7030075187969925,0.19248120300751892,0.6244756628413137
Demographics,Elastic Net,0.33056410256410257,0.45338215634473,0.5052631578947369,0.6729323308270677,0.17819548872180446,0.6244756628413137
Demographics,Elastic Net,0.35097435897435897,0.4448761768307633,0.5263157894736842,0.6541353383458647,0.18045112781954886,0.6244756628413137
Demographics,Elastic Net,0.37138461538461537,0.4415156102376146,0.5368421052631579,0.6466165413533834,0.18345864661654132,0.6244756628413137
Demographics,Elastic Net,0.3917948717948718,0.4318608123346781,0.5578947368421052,0.6165413533834586,0.17443609022556394,0.6244756628413137
Demographics,Elastic Net,0.4122051282051282,0.4310134888180284,0.5631578947368421,0.6052631578947368,0.16842105263157903,0.6244756628413137
Demographics,Elastic Net,0.4326153846153846,0.4214150551252284,0.5894736842105263,0.5676691729323309,0.15714285714285703,0.6244756628413137
Demographics,Elastic Net,0.453025641025641,0.4146997965859431,0.6157894736842106,0.5639097744360902,0.1796992481203008,0.6244756628413137
Demographics,Elastic Net,0.4734358974358974,0.4082867121836415,0.6368421052631579,0.5375939849624061,0.17443609022556394,0.6244756628413137
Demographics,Elastic Net,0.4938461538461538,0.4032329249713201,0.6473684210526316,0.5112781954887218,0.15864661654135337,0.6244756628413137
Demographics,Elastic Net,0.5142564102564102,0.4024019869666499,0.6631578947368421,0.5,0.16315789473684195,0.6244756628413137
Demographics,Elastic Net,0.5346666666666666,0.3930006257752003,0.7052631578947368,0.46616541353383456,0.17142857142857126,0.6244756628413137
Demographics,Elastic Net,0.5550769230769231,0.3860484943284275,0.7315789473684211,0.4473684210526316,0.17894736842105274,0.6244756628413137
Demographics,Elastic Net,0.5754871794871795,0.3788410105685462,0.7578947368421053,0.42857142857142855,0.18646616541353378,0.6244756628413137
Demographics,Elastic Net,0.5958974358974359,0.3707533356581783,0.7736842105263158,0.40601503759398494,0.17969924812030058,0.6244756628413137
Demographics,Elastic Net,0.6163076923076923,0.366093727866999,0.7842105263157895,0.38721804511278196,0.17142857142857149,0.6244756628413137
Demographics,Elastic Net,0.6367179487179487,0.3570338408392856,0.8263157894736842,0.36466165413533835,0.19097744360902258,0.6244756628413137
Demographics,Elastic Net,0.6571282051282051,0.3484498641053892,0.8315789473684211,0.3458646616541353,0.1774436090225564,0.6244756628413137
Demographics,Elastic Net,0.6775384615384615,0.3392224566945437,0.8526315789473684,0.3233082706766917,0.17593984962406006,0.6244756628413137
Demographics,Elastic Net,0.6979487179487179,0.3306609343635404,0.8789473684210526,0.30451127819548873,0.18345864661654132,0.6244756628413137
Demographics,Elastic Net,0.7183589743589743,0.3126854390413698,0.9105263157894737,0.2819548872180451,0.19248120300751892,0.6244756628413137
Demographics,Elastic Net,0.7387692307692307,0.3042343519372317,0.9263157894736842,0.2631578947368421,0.18947368421052624,0.6244756628413137
Demographics,Elastic Net,0.7591794871794871,0.2965310426289863,0.9368421052631579,0.24812030075187969,0.18496240601503766,0.6244756628413137
Demographics,Elastic Net,0.7795897435897436,0.2953759781224862,0.9473684210526315,0.23308270676691728,0.18045112781954886,0.6244756628413137
Demographics,Elastic Net,0.8,0.283595712787439,0.9578947368421052,0.20676691729323307,0.1646616541353383,0.6244756628413137
Demographics,LDA,0.004,0.6835519347008888,0.0,0.9962406015037594,-0.003759398496240629,0.6256430550059359
Demographics,LDA,0.02441025641025641,0.653642400388452,0.005263157894736842,0.9849624060150376,-0.009774436090225547,0.6256430550059359
Demographics,LDA,0.04482051282051282,0.6163533742257771,0.02631578947368421,0.9624060150375939,-0.011278195488721887,0.6256430550059359
Demographics,LDA,0.06523076923076923,0.5944909288110141,0.08947368421052632,0.943609022556391,0.03308270676691727,0.6256430550059359
Demographics,LDA,0.08564102564102564,0.5776743025112583,0.13157894736842105,0.9172932330827067,0.048872180451127845,0.6256430550059359
Demographics,LDA,0.10605128205128206,0.5678296206948416,0.1631578947368421,0.9022556390977443,0.06541353383458648,0.6256430550059359
Demographics,LDA,0.12646153846153846,0.5534568484015192,0.18421052631578946,0.8759398496240601,0.06015037593984962,0.6256430550059359
Demographics,LDA,0.1468717948717949,0.5419657389921376,0.22105263157894736,0.8533834586466166,0.07443609022556386,0.6256430550059359
Demographics,LDA,0.1672820512820513,0.5321552092835781,0.23684210526315788,0.8421052631578947,0.07894736842105265,0.6256430550059359
Demographics,LDA,0.18769230769230769,0.5250246267184709,0.2578947368421053,0.8270676691729323,0.08496240601503757,0.6256430550059359
Demographics,LDA,0.2081025641025641,0.5099178869599085,0.30526315789473685,0.793233082706767,0.09849624060150375,0.6256430550059359
Demographics,LDA,0.2285128205128205,0.4978445555471313,0.3736842105263158,0.7819548872180451,0.1556390977443609,0.6256430550059359
Demographics,LDA,0.2489230769230769,0.4892767178411366,0.38421052631578945,0.7593984962406015,0.14360902255639107,0.6256430550059359
Demographics,LDA,0.2693333333333333,0.4777883044456094,0.42105263157894735,0.7330827067669173,0.1541353383458648,0.6256430550059359
Demographics,LDA,0.28974358974358977,0.4716956161999079,0.4789473684210526,0.7218045112781954,0.20075187969924801,0.6256430550059359
Demographics,LDA,0.31015384615384617,0.4632695784477971,0.5,0.6917293233082706,0.19172932330827064,0.6256430550059359
Demographics,LDA,0.33056410256410257,0.4607396756605432,0.5052631578947369,0.6804511278195489,0.18571428571428572,0.6256430550059359
Demographics,LDA,0.35097435897435897,0.4477461538687459,0.5368421052631579,0.650375939849624,0.18721804511278206,0.6256430550059359
Demographics,LDA,0.37138461538461537,0.4378202352160919,0.5578947368421052,0.631578947368421,0.18947368421052624,0.6256430550059359
Demographics,LDA,0.3917948717948718,0.4378202352160919,0.5578947368421052,0.631578947368421,0.18947368421052624,0.6256430550059359
Demographics,LDA,0.4122051282051282,0.4247732754445471,0.5789473684210527,0.5939849624060151,0.17293233082706783,0.6256430550059359
Demographics,LDA,0.4326153846153846,0.4217223317965399,0.5894736842105263,0.5789473684210527,0.16842105263157903,0.6256430550059359
